Num_Acc,dep,cluster_kmeans,cluster_bisecting,cluster_gmm
202400000858,75,1,3,4
202400000859,91,1,3,1
202400000860,93,4,4,4
202400000861,77,1,4,4
202400000862,94,4,4,4
202400000863,94,1,4,4
202400000864,94,4,4,4
202400000865,77,4,4,4
202400000866,35,2,2,2
202400000867,988,2,2,2
202400000868,974,2,2,2
202400000869,974,0,1,3
202400000870,973,2,2,2
202400000871,973,2,0,2
202400000872,973,2,0,2
202400000873,972,4,4,4
202400000874,972,2,0,4
202400000875,69,0,1,0
202400000876,2A,1,3,4
202400000877,91,2,2,2
202400000878,89,1,3,2
202400000879,30,2,0,4
202400000880,84,2,2,2
202400000881,30,2,0,4
202400000882,83,1,3,4
202400000883,80,2,2,2
202400000884,78,2,2,2
202400000885,77,2,2,2
202400000886,76,2,2,2
202400000887,76,2,2,2
202400000888,69,2,2,2
202400000889,69,2,0,2
202400000890,67,2,2,2
202400000891,67,0,1,3
202400000892,64,2,0,4
202400000893,64,0,0,0
202400000894,64,2,2,2
202400000895,61,2,0,4
202400000896,59,2,2,2
202400000897,59,0,1,0
202400000898,56,3,4,3
202400000899,56,2,0,2
202400000900,54,2,2,2
202400000901,51,2,2,2
202400000902,51,2,2,2
202400000903,51,2,2,2
202400000904,35,2,2,2
202400000905,33,2,2,2
202400000906,33,2,2,2
202400000907,29,0,1,0
202400000908,29,2,2,2
202400000909,27,0,1,3
202400000910,26,1,3,2
202400000911,22,2,2,2
202400000912,14,2,2,2
202400000913,14,0,1,3
202400000914,13,0,1,0
202400000915,13,2,2,2
202400000916,13,0,1,3
202400000917,13,2,2,2
202400000918,07,2,2,2
202400000919,94,2,2,2
202400000920,93,2,2,2
202400000921,93,0,0,3
202400000922,93,2,0,4
202400000923,93,2,0,4
202400000924,93,2,2,2
202400000925,92,2,2,2
202400000926,92,0,1,0
202400000927,92,0,0,3
202400000928,92,2,0,2
202400000929,92,2,2,2
202400000930,92,2,2,2
202400000931,92,2,0,4
202400000932,60,1,3,4
202400000933,60,3,1,3
202400000934,63,1,3,4
202400000935,51,1,3,4
202400000936,85,3,3,3
202400000937,12,2,0,2
202400000938,71,4,4,4
202400000939,87,2,2,2
202400000940,87,2,2,1
202400000941,85,0,1,3
202400000942,84,2,2,2
202400000943,84,3,3,4
202400000944,82,3,3,3
202400000945,76,2,2,2
202400000946,76,0,1,3
202400000947,76,1,3,4
202400000948,76,2,2,2
202400000949,70,0,1,3
202400000950,69,2,2,2
202400000951,64,2,2,2
202400000952,64,0,1,3
202400000953,61,0,0,3
202400000954,59,0,1,3
202400000955,59,0,1,3
202400000956,55,2,2,2
202400000957,51,2,2,2
202400000958,49,0,1,3
202400000959,45,0,1,3
202400000960,37,0,1,3
202400000961,34,0,1,3
202400000962,33,2,2,2
202400000963,33,0,1,3
202400000964,25,0,1,0
202400000965,15,3,3,4
202400000966,14,3,1,3
202400000967,14,2,2,2
202400000968,13,0,1,3
202400000969,13,0,1,3
202400000970,12,3,3,4
202400000971,06,2,0,4
202400000972,06,0,0,3
202400000973,75,0,1,3
202400000974,75,0,1,3
202400000975,75,2,2,2
202400000976,75,0,1,0
202400000977,75,2,2,2
202400000978,75,2,2,2
202400000979,93,2,2,2
202400000980,93,0,1,3
202400000981,93,0,0,3
202400000982,93,0,0,3
202400000983,93,0,0,3
202400000984,92,2,0,4
202400000985,92,2,0,4
202400000986,92,2,0,2
202400000987,92,0,0,3
202400000988,974,2,2,2
202400000989,92,2,2,2
202400000990,972,1,4,4
202400000991,971,1,3,4
202400000992,22,3,4,4
202400000993,971,2,0,4
202400000994,974,2,0,4
202400000995,971,1,3,4
202400000996,62,3,3,4
202400000997,2A,2,2,2
202400000998,91,2,0,4
202400000999,83,1,3,4
202400001000,19,3,3,4
202400001001,91,2,0,4
202400001002,91,2,0,4
202400001003,79,0,0,3
202400001004,87,2,2,2
202400001005,60,3,3,3
202400001006,87,2,2,2
202400001007,64,3,3,4
202400001008,07,1,3,2
202400001009,53,0,1,0
202400001010,84,0,1,3
202400001011,04,2,0,4
202400001012,85,0,1,3
202400001013,81,2,2,2
202400001014,17,1,3,4
202400001015,81,2,2,2
202400001016,973,2,0,4
202400001017,44,4,4,4
202400001018,80,2,0,4
202400001019,974,3,1,3
202400001020,78,0,1,0
202400001021,13,1,3,4
202400001022,11,2,2,2
202400001023,84,1,3,4
202400001024,78,2,0,4
202400001025,06,0,0,3
202400001026,78,2,0,4
202400001027,68,2,2,2
202400001028,77,2,2,2
202400001029,57,3,3,3
202400001030,77,2,2,2
202400001031,07,2,2,2
202400001032,65,2,2,2
202400001033,86,0,1,0
202400001034,77,2,2,2
202400001035,29,2,2,2
202400001036,77,2,0,4
202400001037,59,3,3,0
202400001038,69,3,3,4
202400001039,76,2,2,2
202400001040,59,4,4,4
202400001041,76,2,0,2
202400001042,92,4,4,4
202400001043,76,2,2,2
202400001044,78,3,4,4
202400001045,72,2,2,2
202400001046,92,3,3,4
202400001047,95,4,4,4
202400001048,72,2,2,1
202400001049,93,4,4,4
202400001050,71,2,2,2
202400001051,95,4,4,4
202400001052,69,2,2,2
202400001053,93,3,3,0
202400001054,92,4,4,4
202400001055,67,0,1,3
202400001056,66,2,2,2
202400001057,95,4,4,4
202400001058,66,2,2,2
202400001059,94,4,4,4
202400001060,66,2,2,2
202400001061,94,3,3,4
202400001062,66,2,2,2
